Brand Name,Year,Car_variant,Selling Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Location
Ford Ecosport,2017,1.5 TREND+ TDCI ,643199,78596,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,VDI ,349399,64646,Diesel,Manual,1st Owner,New Delhi
Hyundai Creta,2015,1.6 SX CRDI ,719299,118048,Diesel,Manual,1st Owner,New Delhi
Toyota Innova,2014,2.5 VX 7 STR BS IV ,788399,93758,Diesel,Manual,1st Owner,New Delhi
KIA SELTOS,2020,GTX + AT PETROL ,1741799,7568,Petrol,Automatic,1st Owner,New Delhi
Honda Civic,2019,ZX CVT PETROL ,1987699,19005,Petrol,Automatic,1st Owner,New Delhi
Honda WR-V,2017,1.2 i-VTEC VX MT ,779899,17117,Petrol,Manual,1st Owner,New Delhi
Volkswagen Polo,2014,TRENDLINE 1.2L PETROL ,406499,22149,Petrol,Manual,2nd Owner,New Delhi
Jaguar XF,2013,2.2 DIESEL ,1561199,28289,Diesel,Automatic,2nd Owner,New Delhi
Hyundai NEW SANTRO,2020,1.1 ERA EXICUTIVE ,490499,3544,Petrol,Manual,2nd Owner,New Delhi
Jeep Compass,2019,2.0 LIMITED ,1897599,46400,Diesel,Manual,1st Owner,New Delhi
Honda City,2020,V MT PETROL ,1112399,3627,Petrol,Manual,1st Owner,New Delhi
Mercedes Benz GLA Class,2015,200 CDI STYLE ,1816919,29331,Diesel,Automatic,1st Owner,New Delhi
Hyundai Grand i10,2020,MAGNA 1.2 VTVT ,588499,13223,Petrol,Manual,2nd Owner,New Delhi
Honda City,2010,S MT PETROL ,417399,39307,Petrol,Manual,1st Owner,New Delhi
Hyundai Verna,2018,1.6 SX (O) CRDI MT ,1014699,48278,Diesel,Manual,1st Owner,New Delhi
Renault Kwid,2021,RXT ,477099,6382,Petrol,Manual,1st Owner,New Delhi
Hyundai VENUE,2021,S MT 1.2 KAPPA ,814699,5813,Petrol,Manual,2nd Owner,New Delhi
Tata Tiago,2021,XTA 1.2 PETROL ,710599,6568,Petrol,Automatic,1st Owner,New Delhi
