Brand Name,Year,Car_variant,Selling Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Location
Maruti Swift Dzire,2014,VXI 1.2 BS IV ,417299,33484,Petrol,Manual,2nd Owner,New Delhi
Maruti Alto 800,2018,LXI ,305699,29557,Petrol,Manual,1st Owner,New Delhi
Hyundai Grand i10,2017,MAGNA 1.2 VTVT ,447599,49130,Petrol,Manual,1st Owner,New Delhi
Maruti XL6,2019,ALPHA SHVS MT ,1043499,23604,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2018,ZDI ,811079,24379,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,LDI BS IV ,337099,47537,Diesel,Manual,1st Owner,New Delhi
Toyota Innova,2014,2.5 VX 7 STR BS IV ,747299,111191,Diesel,Manual,1st Owner,New Delhi
Hyundai i10,2009,ERA 1.1 IRDE ,212799,21473,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2020,SIGMA 1.2 K12 ,555099,12471,Petrol,Manual,2nd Owner,New Delhi
Hyundai Creta,2017,1.6 SX PLUS AUTO PETROL ,991499,84696,Petrol,Automatic,1st Owner,New Delhi
Maruti S Cross,2018,ALPHA SHVS ,940399,55921,Diesel,Manual,1st Owner,New Delhi
Hyundai i10,2015,MAGNA 1.1 IRDE2 ,287899,92206,Petrol,Manual,1st Owner,New Delhi
Honda City,2018,VX MT PETROL ,912399,14389,Petrol,Manual,2nd Owner,New Delhi
Honda Amaze,2019,1.2 EMT I VTEC ,572399,35158,Petrol,Manual,1st Owner,New Delhi
Maruti Ciaz,2016,ZXI+ AT ,589299,93768,Petrol,Automatic,1st Owner,New Delhi
Honda Amaze,2014,1.2 SX MT I VTEC ,469499,17710,Petrol,Manual,1st Owner,New Delhi
Hyundai VENUE,2021,SX(O) CRDi ,1162199,14621,Diesel,Manual,1st Owner,New Delhi
Toyota YARIS,2020,G CVT ,995499,44389,Petrol,Automatic,1st Owner,New Delhi
Toyota Corolla Altis,2017,J S ,810599,127978,Petrol + CNG,Manual,2nd Owner,New Delhi
Maruti Baleno,2019,DELTA 1.2 K12 ,662899,22380,Petrol,Manual,1st Owner,New Delhi
Maruti Alto,2021,VXI PLUS ,445199,4642,Petrol,Manual,1st Owner,New Delhi
MG HECTOR,2019,SUPER DIESEL ,1528299,52447,Diesel,Manual,2nd Owner,New Delhi
Hyundai Grand i10,2017,MAGNA 1.2 KAPPA VTVT ,460599,30799,Petrol,Manual,1st Owner,New Delhi
Hyundai Verna,2015,FLUIDIC 1.6 CRDI S ,603199,47039,Diesel,Manual,1st Owner,New Delhi
Tata Harrier,2021,XZ 2.0L Kryotec ,2016299,10141,Diesel,Manual,1st Owner,New Delhi
Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT ,472399,19360,Petrol,Manual,1st Owner,New Delhi
Toyota Corolla Altis,2016,G AT ,914799,90763,Petrol,Automatic,1st Owner,New Delhi
Hyundai Xcent,2019,S 1.2 ,553199,3906,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2021,VXI ,931299,7702,Petrol,Manual,1st Owner,New Delhi
Hyundai i20,2012,ASTA 1.2 ,344399,78458,Petrol,Manual,1st Owner,New Delhi
Hyundai Tucson New,2019,2WD AT GLS PETROL ,2144299,38431,Petrol,Automatic,1st Owner,New Delhi
Maruti Baleno,2020,DELTA 1.2 K12 ,643799,29252,Petrol,Manual,2nd Owner,New Delhi
Maruti Baleno,2018,ZETA 1.2 K12 ,656699,30470,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2016,1.5 TITANIUM TI VCT ,710399,52555,Petrol,Manual,1st Owner,New Delhi
Hyundai Elite i20,2014,ASTA 1.2 ,474899,50726,Petrol,Manual,2nd Owner,New Delhi
Maruti Celerio,2019,VXI ,470699,33669,Petrol,Manual,2nd Owner,New Delhi
Maruti Baleno,2016,DELTA 1.2 K12 ,555499,42263,Petrol,Manual,1st Owner,New Delhi
Honda Jazz,2016,1.2 V MT ,521999,54053,Petrol,Manual,1st Owner,New Delhi
Maruti S PRESSO,2021,VXI PLUS ,492199,13909,Petrol,Manual,1st Owner,New Delhi
Mahindra XUV 3OO,2021,1.2 W6 MT,992299,8789,Petrol,,2nd Owner,New Delhi
Maruti Dzire,2017,LXI ,477999,69215,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2018,VDI OPT ,744399,34917,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2019,1.5 TITANIUM SIGNATURE TI VCT (SUNROOF) ,999499,19968,Petrol,Manual,1st Owner,New Delhi
Maruti Alto K10,2018,VXI ,380299,17923,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2016,DELTA 1.2 K12 ,507499,72644,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2018,1.5 TITANIUM PLUS TI VCT AT ,817599,53881,Petrol,Automatic,1st Owner,New Delhi
Maruti XL6,2019,ALPHA SHVS MT ,1022199,38620,Petrol,Manual,1st Owner,New Delhi
Maruti Swift,2014,ZXI ,380499,91070,Petrol,Manual,2nd Owner,New Delhi
Mahindra XUV500,2015,W6 4X2 ,657099,51734,Diesel,Manual,1st Owner,New Delhi
Hyundai Verna,2015,FLUIDIC 1.6 CRDI S (o) ,579899,62800,Diesel,Manual,1st Owner,New Delhi
Maruti Ciaz,2017,DELTA 1.3 DDIS SHVS ,651599,68249,Diesel,Manual,1st Owner,New Delhi
Audi A6,2015,35 TDI S LINE ,1849699,39292,Diesel,Automatic,2nd Owner,New Delhi
Maruti Vitara Brezza,2018,VDI ,771399,27679,Diesel,Manual,1st Owner,New Delhi
Maruti Alto K10,2018,VXI ,382899,23103,Petrol,Manual,1st Owner,New Delhi
Maruti S PRESSO,2019,VXI PLUS ,417499,29834,Petrol,Manual,2nd Owner,New Delhi
Maruti Alto K10,2019,VXI ,387499,38083,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,VDI ,700199,25839,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2018,1.5 TDCI TITANIUM PLUS ,711399,57654,Diesel,Manual,3rd Owner,New Delhi
Ford Ecosport,2018,1.5TITANIUM TDCI ,733649,46366,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2017,VDI OPT ,708799,59082,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2018,1.5TITANIUM TDCI ,757199,79063,Diesel,Manual,1st Owner,New Delhi
Renault Duster,2013,85 PS RXL OPT ,387899,97106,Diesel,Manual,1st Owner,New Delhi
Toyota Innova,2013,2.5 GX 7 STR BS IV ,614599,121393,Diesel,Manual,2nd Owner,New Delhi
Nissan Terrano,2014,XL 85 PS DEISEL ,453899,51904,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI ,674599,81987,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,VDI ,665099,71234,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,VDI OPT ,661799,88060,Diesel,Manual,1st Owner,New Delhi
Maruti Baleno,2017,ZETA DDIS 190 ,575099,73846,Diesel,Manual,1st Owner,New Delhi
BMW 5 Series,2013,520D LUXURY LINE ,1505599,82670,Diesel,Automatic,2nd Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI PLUS ,766799,90628,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2015,ASTA 1.4 CRDI ,508999,68158,Diesel,Manual,2nd Owner,New Delhi
Maruti S Cross,2018,ALPHA SHVS ,846699,38538,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2016,ZDI PLUS DUAL TONE ,685599,90318,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2017,1.5 TDCI TITANIUM PLUS ,764299,8433,Diesel,Manual,2nd Owner,New Delhi
Maruti S Cross,2017,ALPHA SHVS ,786599,91458,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI ,739799,22037,Diesel,Manual,1st Owner,New Delhi
Volkswagen Polo,2017,COMFORTLINE 1.2L PETROL ,424499,33336,Petrol,Manual,3rd Owner,New Delhi
Hyundai i10,2012,MAGNA 1.2 KAPPA2 ,280499,29049,Petrol,Manual,1st Owner,New Delhi
Audi A4,2013,2.0 TDI S LINE ,1171099,29991,Diesel,Automatic,1st Owner,New Delhi
Tata TIGOR,2017,XZ 1.2 REVOTRON OPT ,506299,40415,Petrol,Manual,1st Owner,New Delhi
Hyundai Eon,2014,MAGNA PLUS ,262099,46966,Petrol,Manual,3rd Owner,New Delhi
Maruti Alto K10,2011,VXI ,237899,37580,Petrol,Manual,1st Owner,New Delhi
Hyundai Verna,2018,1.6 SX VTVT ,920799,17770,Petrol,Manual,1st Owner,New Delhi
Hyundai Grand i10,2018,MAGNA 1.2 VTVT ,474799,30741,Petrol,Manual,1st Owner,New Delhi
Maruti Swift,2013,VDI ,313999,115007,Diesel,Manual,1st Owner,New Delhi
Maruti Baleno,2016,SIGMA 1.2 K12 ,438999,85698,Petrol,Manual,1st Owner,New Delhi
Maruti Swift,2020,ZXI+ ,773299,13357,Petrol,Manual,1st Owner,New Delhi
Hyundai Eon,2016,MAGNA PLUS ,316599,37171,Petrol,Manual,1st Owner,New Delhi
Hyundai Creta,2019,1.6 SX CRDI ,1220099,21929,Diesel,Manual,1st Owner,New Delhi
Mercedes Benz CLA Class,2015,CLA 200 CDI SPORT ,1652399,50401,Diesel,Automatic,2nd Owner,New Delhi
Maruti Alto K10,2018,VXI ,360199,18150,Petrol,Manual,1st Owner,New Delhi
Honda City,2016,VX MT DIESEL ,665399,49653,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2019,ZDI AMT ,879499,27955,Diesel,Automatic,2nd Owner,New Delhi
Maruti Baleno,2016,DELTA 1.2 K12 ,474099,87555,Petrol,Manual,1st Owner,New Delhi
Mahindra Scorpio,2015,S10 ,1053299,43543,Diesel,Manual,1st Owner,New Delhi
Renault Duster,2014,85 PS RXL ,391399,50839,Diesel,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2016,VDI ABS ,463199,58329,Diesel,Manual,2nd Owner,New Delhi
Maruti Alto,2020,LXI CNG (O) ,474299,38710,Petrol + CNG,Manual,1st Owner,New Delhi
Maruti Swift,2014,ZDI ,389899,64127,Diesel,Manual,2nd Owner,New Delhi
Maruti Dzire,2017,VDI AMT ,599799,86344,Diesel,Automatic,1st Owner,New Delhi
Mahindra XUV500,2015,W10 ,783999,116379,Diesel,Manual,2nd Owner,New Delhi
Maruti Swift,2014,VDI ,345399,42154,Diesel,Manual,1st Owner,New Delhi
Maruti Alto K10,2019,LXI CNG ,318799,59501,Petrol + CNG,Manual,1st Owner,New Delhi
Honda Jazz,2017,1.2 V AT ,646799,43578,Petrol,Automatic,1st Owner,New Delhi
Honda Brio,2015,1.2 VX AT I VTEC ,412655,25981,Petrol,Automatic,2nd Owner,New Delhi
Hyundai Grand i10,2018,SPORTZ 1.2 KAPPA VTVT ,499999,36183,Petrol,Manual,1st Owner,New Delhi
Honda Amaze,2019,1.2 EMT I VTEC ,572399,17565,Petrol,Manual,1st Owner,New Delhi
Maruti Celerio,2017,LXI ,394655,6568,Petrol,Manual,1st Owner,New Delhi
Hyundai i20,2013,MAGNA O 1.2 ,359699,59222,Petrol + CNG,Manual,1st Owner,New Delhi
Hyundai Grand i10,2017,Sportz(O) 1.2 MT ,482299,38202,Petrol,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2014,ZXI 1.2 BS IV ,439499,89100,Petrol,Manual,2nd Owner,New Delhi
Maruti Celerio,2019,VXI ,467399,79005,Petrol + CNG,Manual,1st Owner,New Delhi
Toyota Corolla Altis,2014,D 4D J ,610449,105711,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2015,SPORTZ (O) 1.4 ,525099,47838,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2017,1.4 CRDI ASTA (O) ,634899,85704,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2012,VDI ,304299,109227,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2013,VDI ,325299,68431,Diesel,Manual,1st Owner,New Delhi
KIA SELTOS,2020,HTK PLUS 1.5 PETROL ,1155299,12981,Petrol,Manual,2nd Owner,New Delhi
Maruti Alto K10,2011,VXI ,221199,23277,Petrol,Manual,1st Owner,New Delhi
Maruti Wagon R 1.0,2015,LXI ,358999,62113,Petrol,Manual,1st Owner,New Delhi
Renault TRIBER,2020,1.0 RXT ,540999,15345,Petrol,Manual,2nd Owner,New Delhi
Hyundai Elite i20,2015,SPORTZ (O) 1.4 ,524099,63245,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2013,VDI ,309599,144580,Diesel,Manual,2nd Owner,New Delhi
Maruti Swift,2013,VDI ,316299,71378,Diesel,Manual,1st Owner,New Delhi
Toyota Innova,2014,2.5 GX 8 STR BS IV ,671999,119551,Diesel,Manual,2nd Owner,New Delhi
Ford Ecosport,2013,1.5 TITANIUMTDCI OPT ,442699,76136,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2013,1.5 TITANIUMTDCI OPT ,424699,81167,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2016,ZDI ,613399,102161,Diesel,Manual,1st Owner,New Delhi
Mercedes Benz E Class,2013,E 250 CDI AVANTGARDE ,1455599,42881,Diesel,Automatic,2nd Owner,Noida
Volkswagen Polo,2016,COMFORTLINE 1.2L PETROL ,420399,59206,Petrol,Manual,2nd Owner,Noida
Honda City,2014,V MT PETROL ,571499,51778,Petrol,Manual,1st Owner,Noida
Maruti Wagon R 1.0,2014,LXI ,333199,62798,Petrol,Manual,1st Owner,Noida
Honda WR-V,2018,1.2 i-VTEC VX MT ,753099,47983,Petrol,Manual,1st Owner,Noida
Honda City,2020,ZX CVT ,1456371,9928,Petrol,Automatic,1st Owner,Noida
Ford Ecosport,2018,1.5 TITANIUM TI VCT ,795499,28648,Petrol,Manual,1st Owner,Noida
Ford Ecosport,2019,1.5 TITANIUM PLUS TI VCT AT ,900799,16947,Petrol,Automatic,1st Owner,Noida
Ford Ecosport,2019,1.5TITANIUM TDCI ,924899,24255,Diesel,Manual,1st Owner,Noida
Tata ALTROZ,2021,XZ 1.2 ,819099,10325,Petrol,Manual,1st Owner,Noida
Honda WR-V,2017,1.2 i-VTEC S MT ,611999,62171,Petrol,Manual,2nd Owner,Noida
Maruti Celerio,2018,ZXI OPT ,440499,72287,Petrol,Manual,1st Owner,Noida
Maruti Swift Dzire,2013,LDI BS IV ,303099,50331,Diesel,Manual,2nd Owner,Noida
Ford Ecosport,2018,1.5 TDCI TITANIUM PLUS ,846199,32303,Diesel,Manual,1st Owner,Noida
Maruti IGNIS,2018,DELTA 1.2 K12 AMT ,547399,34692,Petrol,Automatic,2nd Owner,Noida
Maruti Alto,2021,LXI ,422999,2303,Petrol,Manual,1st Owner,Noida
Hyundai Creta,2015,1.4 S PLUS ,753299,51726,Diesel,Manual,1st Owner,Noida
Audi A6,2015,2.0 TDI TECHNOLOGY ,1973599,77157,Diesel,Automatic,2nd Owner,Noida
Ford Ecosport,2017,1.5 AMBIENTE TDCI ,529699,106161,Diesel,Manual,1st Owner,Noida
Maruti Ciaz,2016,VDI+ SHVS ,541799,77777,Diesel,Manual,1st Owner,Noida
BMW X3,2013,XDRIVE 20D ,1272899,66995,Diesel,Automatic,1st Owner,Noida
Hyundai Tucson New,2017,2WD AT GL DIESEL ,1381599,88273,Diesel,Automatic,1st Owner,Noida
Maruti Baleno,2016,DELTA DDIS 190 ,506599,63927,Diesel,Manual,1st Owner,Noida
Maruti S Cross,2015,SIGMA 1.3 ,506299,70468,Diesel,Manual,2nd Owner,Noida
Maruti Swift,2013,VDI ,333399,103732,Diesel,Manual,2nd Owner,Noida
Mercedes Benz C Class,2014,C 200 AVANTGARDE ,2133299,36806,Petrol,Automatic,1st Owner,Noida
Jeep Compass,2018,2.0 LIMITED ,1318099,55376,Diesel,Manual,1st Owner,Noida
Tata Tiago,2018,XE 1.2 REVOTRON ,406599,19844,Petrol,Manual,1st Owner,Noida
Honda Jazz,2018,1.2 SV MT ,601299,23733,Petrol,Manual,2nd Owner,Noida
Maruti Baleno,2020,SIGMA 1.2 K12 ,558599,35669,Petrol,Manual,1st Owner,Noida
Mahindra XUV500,2019,W9 ,1408299,37503,Diesel,Manual,1st Owner,Noida
Ford Ecosport,2016,1.5 TITANIUM TI VCT ,649099,46533,Petrol,Manual,2nd Owner,Noida
Renault Kwid,2021,1.0 RXT Opt ,500199,6962,Petrol,Manual,1st Owner,Noida
Renault Kwid,2021,1.0 RXT Opt AT ,533299,3689,Petrol,Automatic,1st Owner,Noida
Honda Amaze,2018,1.2 SAT I VTEC ,706199,29226,Petrol,Automatic,1st Owner,Noida
Honda Amaze,2018,1.2 VXMT I VTEC ,693299,23859,Petrol,Manual,1st Owner,Noida
Honda City,2017,V MT PETROL ,778999,26236,Petrol,Manual,1st Owner,Noida
Hyundai Elite i20,2017,ASTA 1.2 ,610399,35255,Petrol,Manual,1st Owner,Noida
Hyundai Grand i10,2017,SPORTS 1.2 VTVT ,486499,35853,Petrol,Manual,1st Owner,Noida
Maruti Alto 800,2018,LXI ,320799,41575,Petrol,Manual,1st Owner,Noida
Maruti S PRESSO,2021,VXI CNG ,522699,17145,Petrol + CNG,Manual,1st Owner,Noida
Mahindra Scorpio,2020,S9 ,1573999,25596,Diesel,Manual,1st Owner,Noida
Volkswagen Ameo,2016,COMFORTLINE 1.2 ,439599,60916,Petrol,Manual,1st Owner,Noida
Maruti Baleno,2018,DELTA 1.2 K12 ,585599,31879,Petrol,Manual,1st Owner,Noida
Maruti Swift,2014,VXI ,401299,61754,Petrol,Manual,2nd Owner,Noida
Hyundai Creta,2018,1.4 E PLUS CRDI ,824999,65694,Diesel,Manual,1st Owner,Noida
Hyundai Elite i20,2017,ASTA 1.2 DUAL TONE ,645799,11042,Petrol,Manual,2nd Owner,Noida
Maruti Baleno,2020,DELTA 1.2 K12 ,694199,21463,Petrol,Manual,1st Owner,Noida
Honda City,2020,VX CVT PETROL ,1262499,31686,Petrol,Automatic,1st Owner,Noida
Maruti Alto K10,2017,VXI ,350499,47808,Petrol,Manual,1st Owner,Noida
Hyundai Elite i20,2015,ASTA 1.2 ,498599,86498,Petrol,Manual,2nd Owner,Noida
Maruti Ciaz,2017,VDI+ SHVS ,652499,59411,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2016,ZDI PLUS ,712399,36642,Diesel,Manual,1st Owner,Noida
Honda City,2016,S MT DIESEL ,554699,70976,Diesel,Manual,1st Owner,Noida
Hyundai i20,2013,ERA 1.4 CRDI ,327599,32925,Diesel,Manual,1st Owner,Noida
Toyota Etios Liva,2012,G SP ,312699,31729,Petrol,Manual,2nd Owner,Noida
Hyundai Verna,2013,FLUIDIC 1.6 SX CRDI ,428699,75057,Diesel,Manual,1st Owner,Noida
Hyundai i20,2013,SPORTZ 1.4 CRDI ,352999,57869,Diesel,Manual,1st Owner,Noida
Hyundai i20 Active,2016,1.4 SX ,527199,58072,Diesel,Manual,1st Owner,Noida
Ford Ecosport,2015,1.5 TREND TDCI ,451299,79521,Diesel,Manual,1st Owner,Noida
Ford Ecosport,2017,1.5 TREND+ TDCI ,643199,78596,Diesel,Manual,1st Owner,Noida
Maruti Swift,2014,VDI ,349399,64646,Diesel,Manual,1st Owner,Noida
Hyundai Creta,2015,1.6 SX CRDI ,719299,118048,Diesel,Manual,1st Owner,Noida
Toyota Innova,2014,2.5 VX 7 STR BS IV ,788399,93758,Diesel,Manual,1st Owner,Noida
Honda WR-V,2017,1.2 i-VTEC VX MT ,779899,17117,Petrol,Manual,1st Owner,Noida
Hyundai Grand i10,2020,MAGNA 1.2 VTVT ,588499,13223,Petrol,Manual,2nd Owner,Noida
Volkswagen Polo,2014,TRENDLINE 1.2L PETROL ,406499,22149,Petrol,Manual,2nd Owner,Noida
Jaguar XF,2013,2.2 DIESEL ,1561199,28289,Diesel,Automatic,2nd Owner,Noida
Honda Amaze,2013,1.2 EMT I VTEC ,421199,31102,Petrol,Manual,1st Owner,Noida
Jeep Compass,2019,2.0 LIMITED ,1897599,46400,Diesel,Manual,1st Owner,Noida
Honda Civic,2019,ZX CVT PETROL ,1987699,19005,Petrol,Automatic,1st Owner,Noida
Hyundai NEW SANTRO,2020,1.1 ERA EXICUTIVE ,490499,3544,Petrol,Manual,2nd Owner,Noida
Honda City,2020,V MT PETROL ,1112399,3627,Petrol,Manual,1st Owner,Noida
Honda City,2010,S MT PETROL ,417399,39307,Petrol,Manual,1st Owner,Noida
Mercedes Benz GLA Class,2015,200 CDI STYLE ,1816919,29331,Diesel,Automatic,1st Owner,Noida
Mahindra Kuv100,2017,K6+ 6 STR ,345899,51310,Petrol,Manual,1st Owner,Noida
KIA SELTOS,2020,GTX + AT PETROL ,1741799,7568,Petrol,Automatic,1st Owner,Noida
Honda City,2020,VX MT PETROL ,1320699,6629,Petrol,Manual,1st Owner,Noida
Volkswagen Polo,2015,COMFORTLINE 1.2L PETROL ,399199,93769,Petrol,Manual,1st Owner,Noida
Tata Tiago,2021,XTA 1.2 PETROL ,710599,6568,Petrol,Automatic,1st Owner,Noida
Maruti Ciaz,2016,VXI PLUS ,599119,57845,Petrol,Manual,2nd Owner,Noida
Renault Kwid,2021,RXT ,477099,6382,Petrol,Manual,1st Owner,Noida
Honda Amaze,2017,1.2 SMT I VTEC ,452199,71902,Petrol,Manual,1st Owner,Noida
Hyundai VENUE,2021,S MT 1.2 KAPPA ,814699,5813,Petrol,Manual,2nd Owner,Noida
Tata Tiago,2019,XZ 1.2 REVOTRON ,545499,10222,Petrol,Manual,1st Owner,Noida
Hyundai Verna,2018,1.6 SX (O) CRDI MT ,1014699,48278,Diesel,Manual,1st Owner,Noida
Maruti Alto K10,2017,VXI (O) AMT ,373799,12159,Petrol,Automatic,2nd Owner,Noida
Ford Ecosport,2016,1.5 TITANIUM TI VCT ,691899,35037,Petrol,Manual,1st Owner,Noida
Maruti Swift Dzire,2016,VDI ABS ,495699,91792,Diesel,Manual,1st Owner,Noida
Maruti New Wagon-R,2021,1.0 Lxi (o) cng ,615499,16945,Petrol + CNG,Manual,1st Owner,Noida
Maruti Celerio,2015,VXI AT ,365799,122112,Petrol,Automatic,2nd Owner,Noida
Hyundai i20,2013,SPORTZ 1.4 CRDI ,336499,64789,Diesel,Manual,1st Owner,Noida
Honda Brio,2015,1.2 VX AT I VTEC ,461399,34568,Petrol,Automatic,1st Owner,Noida
Maruti Vitara Brezza,2020,ZXI AT SHVS ,1063999,17557,Petrol,Automatic,1st Owner,Noida
Hyundai Creta,2015,1.6 S ,825599,49566,Petrol,Manual,1st Owner,Noida
Hyundai Xcent,2014,BASE 1.2 ,303499,102849,Petrol,Manual,1st Owner,Noida
Maruti Alto K10,2018,VXI ,361499,19270,Petrol,Manual,2nd Owner,Noida
Maruti Alto,2019,VXI ,401899,4210,Petrol,Manual,1st Owner,Noida
Hyundai Creta,2016,1.6 S ,843399,26137,Petrol,Manual,1st Owner,Noida
Hyundai Grand i10,2016,ASTA 1.2 KAPPA VTVT ,473199,45605,Petrol,Manual,1st Owner,Noida
Maruti Baleno,2016,ZETA 1.2 K12 ,560499,60847,Petrol,Manual,1st Owner,Noida
Mahindra Scorpio,2016,S10 ,1164599,43452,Diesel,Manual,1st Owner,Noida
Maruti Baleno,2016,ZETA 1.2 K12 ,587799,52334,Petrol,Manual,1st Owner,Noida
Tata NEXON,2021,XZ+ 1.5 ,1261699,6247,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2018,VDI ,749399,49555,Diesel,Manual,2nd Owner,Noida
Hyundai Creta,2015,1.6 SX (O) CRDI ,859099,56027,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2019,VDI ,803199,40785,Diesel,Manual,1st Owner,Noida
Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT ,444299,66712,Petrol,Manual,1st Owner,Noida
Ford Ecosport,2018,1.5 TDCI TITANIUM PLUS ,868819,39714,Diesel,Manual,1st Owner,Noida
Maruti Celerio X,2018,ZXI OPT AMT ,493999,47610,Petrol,Automatic,1st Owner,Noida
Maruti Vitara Brezza,2016,VDI ,680399,36693,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2016,VDI OPT ,682949,31295,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2017,VDI ,720799,47655,Diesel,Manual,1st Owner,Noida
Maruti S Cross,2015,ALPHA 1.3 ,613599,46911,Diesel,Manual,1st Owner,Noida
Maruti Swift,2013,VDI ,293399,122581,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2016,VDI ,687299,38144,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2017,ZDI PLUS ,748899,53384,Diesel,Manual,1st Owner,Noida
Maruti Alto K10,2018,VXI ,379699,24624,Petrol,Manual,1st Owner,Noida
Maruti Alto,2019,VXI ,375899,23209,Petrol,Manual,1st Owner,Noida
Maruti S PRESSO,2020,VXI ,455499,13653,Petrol,Manual,1st Owner,Noida
Maruti Vitara Brezza,2017,ZDI ,721599,55327,Diesel,Manual,1st Owner,Noida
Maruti Swift,2013,VDI ,312499,82898,Diesel,Manual,1st Owner,Noida
Audi A3,2014,2.0 TDI PREMIUM ,1261499,51934,Diesel,Automatic,1st Owner,Noida
Audi Q5,2014,30 TDI PREMIUM PLUS ,1860099,32976,Diesel,Automatic,1st Owner,Noida
Maruti Alto,2019,VXI ,383999,37748,Petrol,Manual,1st Owner,Noida
Maruti Vitara Brezza,2016,VDI ,696999,42160,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2017,VDI OPT ,705399,28444,Diesel,Manual,2nd Owner,Noida
Ford Ecosport,2017,1.5 TDCI TITANIUM PLUS ,760399,46960,Diesel,Manual,1st Owner,Noida
Honda City,2014,SV MT DIESEL ,474099,86299,Diesel,Manual,1st Owner,Noida
Maruti Baleno,2016,ALPHA DDIS 190 ,557299,67443,Diesel,Manual,1st Owner,Noida
Maruti Ciaz,2015,ZDI SHVS ,551099,76733,Diesel,Manual,1st Owner,Noida
Hyundai Elite i20,2014,SPORTZ (O) 1.4 ,447899,73060,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2016,ZDI PLUS ,686599,57582,Diesel,Manual,1st Owner,Noida
Maruti Swift,2015,ZDI ,479999,53692,Diesel,Manual,2nd Owner,Noida
Maruti S PRESSO,2020,VXI ,455499,20421,Petrol,Manual,1st Owner,Noida
Maruti Swift Dzire,2015,VDI BS IV ,491799,75869,Diesel,Manual,1st Owner,Noida
Maruti Swift,2015,VDI ABS ,445799,50020,Diesel,Manual,1st Owner,Noida
Maruti Baleno,2016,DELTA DDIS 190 ,552399,69270,Diesel,Manual,1st Owner,Noida
Maruti Swift,2014,VDI ,369899,63661,Diesel,Manual,1st Owner,Noida
Maruti Swift Dzire,2015,LDI BS IV ,377099,75826,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2017,ZDI PLUS ,713455,75559,Diesel,Manual,2nd Owner,Noida
Hyundai Elite i20,2015,SPORTZ 1.4 ,461099,93680,Diesel,Manual,2nd Owner,Noida
Renault Duster,2016,85 PS RXL ,594999,67285,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2018,VDI ,771399,15957,Diesel,Manual,1st Owner,Noida
Maruti Vitara Brezza,2016,ZDI PLUS ,684099,72145,Diesel,Manual,1st Owner,Noida
Ford Ecosport,2014,1.5TITANIUM TDCI ,431299,78344,Diesel,Manual,1st Owner,Noida
Maruti Swift,2015,LDI O ,359499,68858,Diesel,Manual,1st Owner,Noida
